feature,coefficient,abs_coefficient
MS Zoning_I (all),1035.4567892339255,1035.4567892339255
Condition 2_PosA,1021.6287094371297,1021.6287094371297
House Style_1.5Fin,-1020.1587958334791,1020.1587958334791
Neighborhood_OldTown,-1016.5339952961907,1016.5339952961907
Garage Type_2Types,-1013.5121294285772,1013.5121294285772
Roof Style_Mansard,-1008.7789827437374,1008.7789827437374
Neighborhood_Gilbert,-1007.8299554476449,1007.8299554476449
Neighborhood_BrkSide,997.0777370154437,997.0777370154437
Roof Matl_Metal,987.6800749884477,987.6800749884477
Exterior 2nd_AsbShng,-972.644100723606,972.644100723606
Fireplace Qu_TA,-971.5217192108514,971.5217192108514
Heating_Wall,969.8648803537519,969.8648803537519
Mas Vnr Type_BrkFace,-963.4228973195726,963.4228973195726
Foundation_Stone,955.9384033126237,955.9384033126237
House Style_2.5Fin,-948.2578079403976,948.2578079403976
Lot Config_CulDSac,940.4249703999142,940.4249703999142
Misc Feature_Othr,932.2205501270502,932.2205501270502
BsmtFin Type 2_Unf,929.0697036601923,929.0697036601923
Kitchen Qual_Gd,-928.652077222123,928.652077222123
Kitchen Qual_Fa,-908.9613608695593,908.9613608695593
Condition 1_Feedr,-895.0903844856009,895.0903844856009
Bsmt Exposure_Av,890.5431119798307,890.5431119798307
Exterior 1st_Wd Sdng,885.8820289262093,885.8820289262093
Heating QC_Ex,875.1164555671422,875.1164555671422
Roof Style_Shed,870.9184058422951,870.9184058422951
Mas Vnr Type_Stone,862.0795619757445,862.0795619757445
Land Slope_Mod,856.4682922121992,856.4682922121992
Garage Cond_Gd,-852.6694683118953,852.6694683118953
Garage Qual_Gd,825.6413527849866,825.6413527849866
Foundation_CBlock,-812.2761505760118,812.2761505760118
Exter Qual_TA,-807.8031783357236,807.8031783357236
Pool QC_Fa,793.3177523924725,793.3177523924725
Heating QC_TA,-772.0574717416148,772.0574717416148
Exterior 2nd_Plywood,-755.1572762555521,755.1572762555521
Street_Pave,753.7731052966245,753.7731052966245
Street_Grvl,-753.7731052944038,753.7731052944038
Condition 2_RRAe,-749.8699224429747,749.8699224429747
Neighborhood_Greens,741.2863686885285,741.2863686885285
House Style_SFoyer,739.5559581707498,739.5559581707498
Neighborhood_SWISU,-730.413488628663,730.413488628663
Pool Area,-726.984261548156,726.984261548156
Neighborhood_ClearCr,-726.6575687236258,726.6575687236258
Bsmt Cond_TA,-725.7030437564939,725.7030437564939
Heating_OthW,-720.8364994321613,720.8364994321613
Foundation_Wood,-719.0661961062104,719.0661961062104
Pool QC_TA,715.1967686131381,715.1967686131381
Exterior 2nd_HdBoard,-709.2321741439158,709.2321741439158
MS Zoning_RH,704.6423998214461,704.6423998214461
House Style_SLvl,699.8273514144538,699.8273514144538
Fence_GdPrv,-654.8371619044322,654.8371619044322
Exterior 2nd_AsphShn,649.9301939802236,649.9301939802236
Lot Shape_IR2,645.0808989678114,645.0808989678114
BsmtFin Type 1_BLQ,-639.7536677369727,639.7536677369727
Bsmt Qual_TA,-634.1165706735188,634.1165706735188
Foundation_PConc,626.8658707644846,626.8658707644846
Condition 2_Feedr,-611.0338779692191,611.0338779692191
Functional_Maj2,-605.7574238565545,605.7574238565545
BsmtFin Type 1_ALQ,-602.4762014725789,602.4762014725789
Electrical_Mix,-599.2060686716227,599.2060686716227
Utilities_NoSewr,-599.2010542375889,599.2010542375889
Fireplace Qu_Fa,-598.8951362738853,598.8951362738853
BsmtFin Type 1_Unf,594.9683981110302,594.9683981110302
Garage Qual_Po,-591.2737599222589,591.2737599222589
Sale Condition_AdjLand,589.9593479853809,589.9593479853809
Exterior 1st_PreCast,589.2825645002692,589.2825645002692
Exterior 2nd_PreCast,589.2825645000169,589.2825645000169
Mas Vnr Type_None,584.4027678216688,584.4027678216688
Exterior 1st_HdBoard,-576.2254466819993,576.2254466819993
Half Bath,575.0632092691318,575.0632092691318
Heating_Grav,-572.4140289630026,572.4140289630026
Exterior 1st_BrkComm,567.3296507867797,567.3296507867797
Neighborhood_Blmngtn,566.8988595554994,566.8988595554994
Bsmt Cond_Gd,-565.9050169128975,565.9050169128975
Fence_MnPrv,565.4342225688362,565.4342225688362
Lot Frontage,565.1574195253514,565.1574195253514
Low Qual Fin SF,-562.5403949377442,562.5403949377442
Exter Cond_Fa,-561.2654667402257,561.2654667402257
Roof Style_Flat,-560.6800461799518,560.6800461799518
Fireplace Qu_Gd,-545.9367970276522,545.9367970276522
Utilities_AllPub,540.6123691363039,540.6123691363039
Exterior 2nd_MetalSd,-536.6408640804848,536.6408640804848
Bldg Type_2fmCon,532.9685296761871,532.9685296761871
Fireplace Qu_Ex,529.5050455209529,529.5050455209529
Exterior 2nd_Brk Cmn,-528.3422522868779,528.3422522868779
Exter Qual_Fa,516.1353780924941,516.1353780924941
Sale Condition_Partial,-505.30200925977925,505.30200925977925
House Style_1.5Unf,503.0213068899602,503.0213068899602
Neighborhood_Blueste,498.7399799970504,498.7399799970504
Garage Cond_Po,-497.8761288642863,497.8761288642863
Garage Type_Detchd,-484.6703065703322,484.6703065703322
Exter Qual_Gd,-456.8955704687104,456.8955704687104
Exter Cond_TA,424.47514058284656,424.47514058284656
Bsmt Full Bath,417.9179770582477,417.9179770582477
Exterior 1st_ImStucc,-411.6603649350601,411.6603649350601
Mas Vnr Type_BrkCmn,-401.7271422650329,401.7271422650329
Neighborhood_Veenker,-389.4674407510374,389.4674407510374
Neighborhood_MeadowV,-388.767332325015,388.767332325015
Neighborhood_Sawyer,-386.11424588364343,386.11424588364343
Fence_GdWo,381.83755780531123,381.83755780531123
Condition 1_RRNn,-381.4152475012825,381.4152475012825
Exterior 2nd_ImStucc,358.01762712013107,358.01762712013107
Bsmt Cond_Ex,-357.635873069139,357.635873069139
MS Zoning_A (agr),356.77941530386323,356.77941530386323
Sale Type_ConLI,-354.44267544002076,354.44267544002076
Bsmt Exposure_None,-353.94732489604036,353.94732489604036
3Ssn Porch,351.63013970583813,351.63013970583813
Lot Shape_IR3,-351.3157209607014,351.3157209607014
Condition 2_Norm,350.83470445098527,350.83470445098527
Exterior 1st_AsbShng,346.78575674652654,346.78575674652654
Land Contour_Bnk,-346.38210313201535,346.38210313201535
Garage Finish_Unf,-340.1908494270618,340.1908494270618
Roof Matl_WdShake,330.30820989039586,330.30820989039586
Lot Config_FR2,-314.4948514291638,314.4948514291638
Garage Finish_Fin,-307.6229062278976,307.6229062278976
Functional_Min1,-301.9091523475423,301.9091523475423
Sale Condition_Family,-297.0223228411946,297.0223228411946
Bsmt Half Bath,-294.64724763220056,294.64724763220056
Heating QC_Fa,-287.83166399217185,287.83166399217185
Sale Type_CWD,283.41000237710836,283.41000237710836
Exterior 1st_Plywood,-277.9908721806468,277.9908721806468
BsmtFin Type 2_Rec,-276.0391732333496,276.0391732333496
Lot Config_Corner,-272.258568665618,272.258568665618
Roof Matl_CompShg,269.98912758420903,269.98912758420903
Lot Shape_IR1,-269.02704247998366,269.02704247998366
Bsmt Qual_Po,262.87273448728945,262.87273448728945
Condition 1_RRAe,-262.5847695949782,262.5847695949782
Exterior 2nd_Wd Shng,-261.0914834656543,261.0914834656543
Exter Cond_Ex,-257.9305951803776,257.9305951803776
Exterior 2nd_CmentBd,-257.23659904727225,257.23659904727225
Exterior 1st_AsphShn,-254.22913424385453,254.22913424385453
Heating QC_Po,-247.87487926501475,247.87487926501475
